repository_id,repository_name,repository_type,repository_url,oai_url,software,content_types,content_subjects,organisation_name,organisation_country,metadata_record_count,full_text_record_count
2,Alexandria Research Platform,institutional,https://www.alexandria.unisg.ch/,https://www.alexandria.unisg.ch/server/oai/,dspace_cris,"journal_articles, bibliographic_references, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, learning_objects","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of St. Gallen,ch,43608,0
3,AMS Acta,institutional,http://amsacta.unibo.it,http://amsacta.unibo.it/cgi/oai2,eprints,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Università di Bologna,it,5058,4471
5,The Lincoln Repository,institutional,https://repository.lincoln.ac.uk/,N/A,other,"journal_articles, bibliographic_references, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, datasets, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Lincoln,gb,18422,0
7,ArchiMer - Ifremer's institutional repository,institutional,http://archimer.ifremer.fr,http://www.ifremer.fr/docelec/oai/OAIHandler,N/A,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers","humanities, science",French Research Institute for Exploitation of the Sea,fr,26734,0
8,Archive EduTice,institutional,http://edutice.archives-ouvertes.fr/,https://api.archives-ouvertes.fr/oai/edutice,hal,"journal_articles, conference_and_workshop_papers, unpub_reports_and_working_papers","social_sciences, technology",Centre pour la Communication Scientifique Directe,fr,1787,0
10,Theses de l'ULP,institutional,http://eprints-scd-ulp.u-strasbg.fr/,http://eprints-scd-ulp.u-strasbg.fr/perl/oai2,eprints,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Université de Strasbourg,fr,1826,0
11,Archive of European Integration,disciplinary,http://aei.pitt.edu/,http://aei.pitt.edu/cgi/oai2,eprints,"journal_articles, conference_and_workshop_papers, unpub_reports_and_working_papers, other_special_item_types","humanities, social_sciences",University of Pittsburgh,us,82220,76762
13,Publikations- und Dokumentenserver der Universitätsbibliothek Marburg,institutional,https://archiv.ub.uni-marburg.de/ubfind/,http://archiv.ub.uni-marburg.de/oai/provider,opus,"journal_articles, theses_and_dissertations, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Philipps-Universität Marburg,de,17025,8833
17,UNSWorks,institutional,http://unsworks.unsw.edu.au,N/A,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, datasets, other_special_item_types","social_sciences, humanities, arts, health_and_medicine, mathematics, engineering, technology, science",University of New South Wales,au,28312,0
18,arXiv,disciplinary,https://arxiv.org/,http://export.arxiv.org/oai2,other,"journal_articles, unpub_reports_and_working_papers","mathematics, science, technology",Cornell University,us,1418385,0
23,Biblioteca Digital Jurídica do Superior Tribunal de Justiça,governmental,https://bdjur.stj.jus.br/jspui/,http://bdjur.stj.jus.br/dspace-oai/request,dspace,"theses_and_dissertations, unpub_reports_and_working_papers, books_chapters_and_sections, other_special_item_types",social_sciences,Superior Tribunal de Justica,br,143018,31958
24,Bergen Open Research Archive,institutional,https://bora.uib.no,https://bora.uib.no/bora-oai,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of Bergen,no,14319,0
25,Repositorio Educativo Digital Universidad Autónoma de Occidente,institutional,http://red.uao.edu.co/,http://red.uao.edu.co/oai/request,dspace,"journal_articles, conference_and_workshop_papers, theses_and_dissertations, books_chapters_and_sections, learning_objects, other_special_item_types","arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",Universidad Autónoma de Occidente,co,5405,0
26,Biblioteca Digital de Teses e Dissertações da Universidade de São Paulo,institutional,https://teses.usp.br/,N/A,N/A,theses_and_dissertations,"arts, engineering, health_and_medicine, humanities, mathematics, science, social_sciences, technology",University of São Paulo,br,76984,0
