repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
2,Alexandria Research Platform,institutional,https://www.alexandria.unisg.ch/,University of St. Gallen,ch,43608,0
3,AMS Acta,institutional,http://amsacta.unibo.it,Università di Bologna,it,5058,4471
5,The Lincoln Repository,institutional,https://repository.lincoln.ac.uk/,University of Lincoln,gb,18422,0
7,ArchiMer - Ifremer's institutional repository,institutional,http://archimer.ifremer.fr,French Research Institute for Exploitation of the Sea,fr,26734,0
8,Archive EduTice,institutional,http://edutice.archives-ouvertes.fr/,Centre pour la Communication Scientifique Directe,fr,1787,0
10,Theses de l'ULP,institutional,http://eprints-scd-ulp.u-strasbg.fr/,Université de Strasbourg,fr,1826,0
11,Archive of European Integration,disciplinary,http://aei.pitt.edu/,University of Pittsburgh,us,82220,76762
13,Publikations- und Dokumentenserver der Universitätsbibliothek Marburg,institutional,https://archiv.ub.uni-marburg.de/ubfind/,Philipps-Universität Marburg,de,17025,8833
17,UNSWorks,institutional,http://unsworks.unsw.edu.au,University of New South Wales,au,28312,0
18,arXiv,disciplinary,https://arxiv.org/,Cornell University,us,1418385,0
23,Biblioteca Digital Jurídica do Superior Tribunal de Justiça,governmental,https://bdjur.stj.jus.br/jspui/,Superior Tribunal de Justica,br,143018,31958
24,Bergen Open Research Archive,institutional,https://bora.uib.no,University of Bergen,no,14319,0
25,Repositorio Educativo Digital Universidad Autónoma de Occidente,institutional,http://red.uao.edu.co/,Universidad Autónoma de Occidente,co,5405,0
26,Biblioteca Digital de Teses e Dissertações da Universidade de São Paulo,institutional,https://teses.usp.br/,University of São Paulo,br,76984,0
35,University Library System - University of Messina,institutional,http://cab.unime.it,University of Messina,it,209037,0
38,Caltech Authors,institutional,https://authors.library.caltech.edu/,California Institute of Technology,us,96998,66006
40,CaltechTHESIS,institutional,https://thesis.library.caltech.edu/,California Institute of Technology,us,10399,9072
54,Computer Laboratory Technical Reports - Cambridge University,institutional,https://www.cl.cam.ac.uk/techreports,University of Cambridge,gb,922,0
55,Online Research @ Cardiff,institutional,http://orca.cf.ac.uk,Cardiff University,gb,111222,34539
57,ePubs: the open archive for STFC research publications,institutional,https://epubs.stfc.ac.uk/,Science and Technology Facilities Council,gb,54108,228
58,Archive Ouverte en Sciences de l'Information et de la Communication,institutional,https://archivesic.ccsd.cnrs.fr,Centre pour la Communication Scientifique Directe,fr,1137498,55492
59,Archive Electronique - Institut Jean Nicod,institutional,http://jeannicod.ccsd.cnrs.fr/,Institut Jean Nicod,fr,1375,641
